,country,year,population_int
0,Singapore,1800,30000
1,Singapore,1801,30000
2,Singapore,1802,30000
3,Singapore,1803,30000
4,Singapore,1804,30000
5,Singapore,1805,30000
6,Singapore,1806,30000
7,Singapore,1807,30000
8,Singapore,1808,30000
9,Singapore,1809,30000
10,Singapore,1810,30000
11,Singapore,1811,30000
12,Singapore,1812,30000
13,Singapore,1813,30000
14,Singapore,1814,30000
15,Singapore,1815,30000
16,Singapore,1816,30000
17,Singapore,1817,30000
18,Singapore,1818,30000
19,Singapore,1819,30100
20,Singapore,1820,30400
21,Singapore,1821,30800
22,Singapore,1822,31300
23,Singapore,1823,31900
24,Singapore,1824,32600
25,Singapore,1825,33300
26,Singapore,1826,34000
27,Singapore,1827,34700
28,Singapore,1828,35400
29,Singapore,1829,36200
30,Singapore,1830,37000
31,Singapore,1831,37700
32,Singapore,1832,38500
33,Singapore,1833,39300
34,Singapore,1834,40200
35,Singapore,1835,41000
36,Singapore,1836,41900
37,Singapore,1837,42700
38,Singapore,1838,43600
39,Singapore,1839,44600
40,Singapore,1840,45500
41,Singapore,1841,46500
42,Singapore,1842,47400
43,Singapore,1843,48400
44,Singapore,1844,49500
45,Singapore,1845,50500
46,Singapore,1846,51600
47,Singapore,1847,52600
48,Singapore,1848,53700
49,Singapore,1849,54900
50,Singapore,1850,56000
51,Singapore,1851,57200
52,Singapore,1852,58300
53,Singapore,1853,59500
54,Singapore,1854,60700
55,Singapore,1855,61900
56,Singapore,1856,63200
57,Singapore,1857,64500
58,Singapore,1858,65800
59,Singapore,1859,67100
60,Singapore,1860,68500
61,Singapore,1861,69900
62,Singapore,1862,71300
63,Singapore,1863,72800
64,Singapore,1864,74200
65,Singapore,1865,75700
66,Singapore,1866,77300
67,Singapore,1867,78800
68,Singapore,1868,80400
69,Singapore,1869,82300
70,Singapore,1870,84300
71,Singapore,1871,86600
72,Singapore,1872,89200
73,Singapore,1873,92000
74,Singapore,1874,94900
75,Singapore,1875,97900
76,Singapore,1876,101000
77,Singapore,1877,104000
78,Singapore,1878,107000
79,Singapore,1879,111000
80,Singapore,1880,114000
81,Singapore,1881,118000
82,Singapore,1882,122000
83,Singapore,1883,126000
84,Singapore,1884,130000
85,Singapore,1885,134000
86,Singapore,1886,138000
87,Singapore,1887,142000
88,Singapore,1888,147000
89,Singapore,1889,151000
90,Singapore,1890,156000
91,Singapore,1891,161000
92,Singapore,1892,166000
93,Singapore,1893,171000
94,Singapore,1894,177000
95,Singapore,1895,182000
96,Singapore,1896,188000
97,Singapore,1897,194000
98,Singapore,1898,200000
99,Singapore,1899,207000
100,Singapore,1900,215000
101,Singapore,1901,223000
102,Singapore,1902,232000
103,Singapore,1903,241000
104,Singapore,1904,251000
105,Singapore,1905,261000
106,Singapore,1906,272000
107,Singapore,1907,284000
108,Singapore,1908,295000
109,Singapore,1909,306000
110,Singapore,1910,316000
111,Singapore,1911,325000
112,Singapore,1912,332000
113,Singapore,1913,338000
114,Singapore,1914,345000
115,Singapore,1915,352000
116,Singapore,1916,358000
117,Singapore,1917,365000
118,Singapore,1918,372000
119,Singapore,1919,381000
120,Singapore,1920,392000
121,Singapore,1921,406000
122,Singapore,1922,421000
123,Singapore,1923,439000
124,Singapore,1924,458000
125,Singapore,1925,478000
126,Singapore,1926,499000
127,Singapore,1927,520000
128,Singapore,1928,542000
129,Singapore,1929,563000
130,Singapore,1930,583000
131,Singapore,1931,601000
132,Singapore,1932,617000
133,Singapore,1933,632000
134,Singapore,1934,646000
135,Singapore,1935,662000
136,Singapore,1936,677000
137,Singapore,1937,693000
138,Singapore,1938,709000
139,Singapore,1939,727000
140,Singapore,1940,746000
141,Singapore,1941,767000
142,Singapore,1942,790000
143,Singapore,1943,815000
144,Singapore,1944,840000
145,Singapore,1945,867000
146,Singapore,1946,894000
147,Singapore,1947,922000
148,Singapore,1948,951000
149,Singapore,1949,984000
150,Singapore,1950,1020000
151,Singapore,1951,1070000
152,Singapore,1952,1120000
153,Singapore,1953,1180000
154,Singapore,1954,1240000
155,Singapore,1955,1310000
156,Singapore,1956,1370000
157,Singapore,1957,1440000
158,Singapore,1958,1510000
159,Singapore,1959,1570000
160,Singapore,1960,1630000
161,Singapore,1961,1690000
162,Singapore,1962,1740000
163,Singapore,1963,1790000
164,Singapore,1964,1830000
165,Singapore,1965,1880000
166,Singapore,1966,1920000
167,Singapore,1967,1960000
168,Singapore,1968,2000000
169,Singapore,1969,2029999
170,Singapore,1970,2069999
171,Singapore,1971,2110000
172,Singapore,1972,2150000
173,Singapore,1973,2190000
174,Singapore,1974,2230000
175,Singapore,1975,2260000
176,Singapore,1976,2290000
177,Singapore,1977,2310000
178,Singapore,1978,2340000
179,Singapore,1979,2370000
180,Singapore,1980,2410000
181,Singapore,1981,2460000
182,Singapore,1982,2520000
183,Singapore,1983,2580000
184,Singapore,1984,2640000
185,Singapore,1985,2710000
186,Singapore,1986,2760000
